"","V1","V2"
"1",98,NA
"2",93,NA
"3",97,NA
"4",NA,2
"5",98,NA
"6",82,88
"7",76,89
"8",95,NA
"9",97,NA
"10",98,NA
"11",26,40
"12",102,NA
"13",98,NA
"14",98,NA
"15",91,97
"16",95,NA
"17",92,NA
"18",96,NA
"19",92,NA
"20",97,NA
"21",92,NA
"22",96,NA
"23",19,26
"24",20,28
"25",102,NA
"26",92,NA
"27",96,NA
"28",95,NA
"29",70,81
"30",5,12
"31",103,NA
"32",103,NA
"33",27,33
"34",11,18
"35",97,NA
"36",98,NA
"37",100,NA
"38",91,99
"39",92,NA
"40",93,NA
"41",92,NA
"42",96,NA
"43",97,NA
"44",97,NA
"45",97,NA
"46",95,NA
"47",99,NA
"48",97,NA
"49",97,NA
"50",99,NA
"51",92,NA
"52",100,NA
"53",102,NA
"54",96,NA
"55",99,NA
"56",8,19
"57",21,26
"58",102,NA
"59",95,NA
"60",7,11
"61",95,NA
"62",92,NA
"63",92,NA
"64",92,NA
"65",97,NA
"66",97,NA
"67",100,NA
"68",92,NA
"69",92,NA
"70",82,91
"71",93,NA
"72",82,99
"73",102,NA
"74",97,NA
"75",97,NA
"76",92,NA
"77",92,NA
"78",98,NA
"79",98,NA
"80",95,NA
"81",92,NA
"82",96,NA
"83",97,NA
"84",14,18
"85",14,22
"86",5,11
"87",96,NA
"88",92,NA
"89",92,NA
"90",97,NA
"91",92,NA
"92",96,NA
"93",92,NA
"94",84,NA
"95",96,NA
"96",103,NA
"97",100,NA
"98",98,NA
"99",92,NA
"100",103,NA
"101",97,NA
"102",102,NA
"103",95,NA
"104",97,NA
"105",48,56
"106",96,NA
"107",97,NA
"108",99,NA
"109",27,35
"110",29,33
"111",95,NA
"112",96,NA
"113",100,NA
"114",95,NA
"115",98,NA
"116",95,NA
"117",50,62
"118",2,11
"119",96,NA
"120",95,NA
"121",96,NA
"122",95,NA
"123",102,NA
"124",82,88
"125",100,NA
"126",99,NA
"127",100,NA
"128",100,NA
"129",70,89
"130",98,NA
"131",97,NA
"132",97,NA
"133",77,88
"134",96,NA
"135",97,NA
"136",98,NA
"137",92,NA
"138",96,NA
"139",11,19
"140",98,NA
"141",6,18
"142",97,NA
"143",99,NA
"144",92,NA
"145",92,NA
"146",97,NA
"147",95,NA
"148",99,NA
"149",97,NA
"150",98,NA
"151",92,NA
"152",92,NA
"153",89,NA
"154",97,NA
"155",96,NA
"156",92,NA
"157",98,NA
"158",92,NA
"159",102,NA
"160",96,NA
"161",102,NA
"162",102,NA
"163",99,NA
"164",98,NA
"165",102,NA
"166",96,NA
"167",74,76
"168",95,NA
"169",99,NA
"170",97,NA
"171",96,NA
"172",98,NA
"173",98,NA
"174",96,NA
"175",98,NA
"176",103,NA
"177",102,NA
"178",98,NA
"179",98,NA
"180",97,NA
"181",98,NA
"182",97,NA
"183",99,NA
"184",95,NA
"185",97,NA
"186",8,20
"187",NA,6
"188",26,36
"189",96,NA
"190",96,NA
"191",99,NA
"192",95,NA
"193",10,13
"194",99,NA
"195",97,NA
"196",103,NA
"197",97,NA
"198",97,NA
"199",5,18
"200",93,NA
"201",96,NA
"202",96,NA
"203",102,NA
"204",95,NA
"205",5,20
"206",99,NA
"207",92,NA
"208",95,NA
"209",103,NA
"210",97,NA
"211",81,91
"212",95,NA
"213",95,NA
"214",100,NA
"215",103,NA
"216",96,NA
"217",91,NA
"218",98,NA
"219",100,NA
"220",92,NA
"221",92,NA
"222",97,NA
"223",96,NA
"224",76,89
"225",96,NA
"226",99,NA
"227",8,13
"228",98,NA
"229",95,NA
"230",13,19
"231",96,NA
"232",103,NA
"233",98,NA
"234",102,NA
"235",70,76
"236",96,NA
"237",95,NA
"238",13,20
"239",96,NA
"240",92,NA
"241",95,NA
"242",97,NA
"243",96,NA
"244",102,NA
"245",103,NA
"246",95,NA
"247",96,NA
"248",98,NA
"249",95,NA
"250",93,NA
"251",95,NA
"252",27,34
"253",92,NA
"254",93,NA
"255",97,NA
"256",93,NA
"257",95,NA
"258",103,NA
"259",102,NA
"260",96,NA
"261",103,NA
"262",27,39
"263",102,NA
"264",103,NA
